Answer;Choice Text;Question Text;Section Title;Subsection Title;Survey Title
Yes;Totalement;Comprenez-vous clairement la vision commerciale de CODIR et sa place dans la stratégie du Groupe ?;Vision et alignement commercial;Vision et stratégie commerciale CODIR;Krys - Vente Contributeur
Yes;Totalement;Savez-vous comment votre action commerciale contribue aux objectifs stratégiques de CODIR ?;Vision et alignement commercial;Vision et stratégie commerciale CODIR;Krys - Vente Contributeur
Yes;Totalement;Maîtrisez-vous les enjeux concurrentiels et le positionnement de CODIR sur le marché ?;Vision et alignement commercial;Vision et stratégie commerciale CODIR;Krys - Vente Contributeur
Yes;Totalement;Êtes-vous capable d'expliquer la valeur ajoutée de CODIR à vos clients ?;Vision et alignement commercial;Vision et stratégie commerciale CODIR;Krys - Vente Contributeur
Yes;Totalement;Intégrez-vous la stratégie CODIR dans vos argumentaires de vente ?;Vision et alignement commercial;Vision et stratégie commerciale CODIR;Krys - Vente Contributeur
Yes;Totalement;Adaptez-vous votre discours commercial selon le type de client (indépendant/enseigne) ?;Vision et alignement commercial;Vision et stratégie commerciale CODIR;Krys - Vente Contributeur
Yes;Totalement;Mesurez-vous l'impact de vos actions sur l'atteinte des objectifs stratégiques ?;Vision et alignement commercial;Vision et stratégie commerciale CODIR;Krys - Vente Contributeur
Yes;Totalement;Soutenez-vous efficacement la politique tarifaire et les conditions commerciales ?;Vision et alignement commercial;Soutien à la politique commerciale du Groupe;Krys - Vente Contributeur
Yes;Totalement;Appliquez-vous correctement les dispositifs RFA et les programmes de fidélisation ?;Vision et alignement commercial;Soutien à la politique commerciale du Groupe;Krys - Vente Contributeur
Yes;Totalement;Respectez-vous les orientations commerciales définies par la direction ?;Vision et alignement commercial;Soutien à la politique commerciale du Groupe;Krys - Vente Contributeur
Yes;Totalement;Contribuez-vous activement aux campagnes commerciales et événements CODIR ?;Vision et alignement commercial;Soutien à la politique commerciale du Groupe;Krys - Vente Contributeur
Yes;Totalement;Alignez-vous vos actions avec les priorités définies par le management commercial ?;Vision et alignement commercial;Soutien à la politique commerciale du Groupe;Krys - Vente Contributeur
Yes;Totalement;Relayez-vous efficacement les messages et orientations de la direction auprès de vos clients ?;Vision et alignement commercial;Soutien à la politique commerciale du Groupe;Krys - Vente Contributeur
