Answer;Choice Text;Question Text;Section Title;Subsection Title;Survey Title
Yes;Modérément;Comprenez-vous clairement la vision et la mission de l'équipe Formatech ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Contributeur
Yes;Modérément;Les objectifs d'excellence pédagogique et de satisfaction apprenants vous sont-ils bien communiqués ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Contributeur
Yes;Totalement;Savez-vous comment votre rôle contribue à la montée en compétences des opticiens ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Contributeur
Yes;Totalement;Comprenez-vous l'importance de Formatech dans la stratégie CODIR ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Contributeur
Yes;Peu;Les valeurs pédagogiques sont-elles clairement définies dans votre équipe ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Contributeur
Yes;Peu;Connaissez-vous les standards de qualité attendus dans vos formations ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Contributeur
Yes;Totalement;Connaissez-vous les différents publics formés (réseau Krys, indépendants, équipes internes) ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Contributeur
Yes;Totalement;Comprenez-vous les besoins spécifiques de formation selon les profils d'apprenants ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Contributeur
Yes;Totalement;Maîtrisez-vous les modalités pédagogiques (présentiel, distanciel, mixte) ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Contributeur
Yes;Totalement;Comprenez-vous la stratégie de déploiement des formations produits ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Contributeur
Yes;Totalement;Savez-vous adapter vos contenus selon les catalogues (CODIR, Partners, Signature) ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Contributeur
Yes;Totalement;Maîtrisez-vous l'approche pédagogique pour les formations verres et contactologie ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Contributeur
Yes;Modérément;Connaissez-vous les valeurs fondamentales de l'approche pédagogique Formatech ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Contributeur
Yes;Modérément;Comprenez-vous comment ces valeurs influencent vos pratiques de formation ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Contributeur
Yes;Totalement;Savez-vous articuler l'ADN pédagogique de l'équipe Formatech ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Contributeur
Yes;Modérément;Comprenez-vous l'approche CODIR de l'accompagnement des opticiens ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Contributeur
Yes;Modérément;Maîtrisez-vous le discours de présentation de l'offre formation ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Contributeur
Yes;Pas du tout;Connaissez-vous vos objectifs individuels de formation et d'accompagnement ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Contributeur
Yes;Peu;Participez-vous régulièrement aux points d'avancement des objectifs formation ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Contributeur
Yes;Modérément;Comprenez-vous comment vos KPI s'alignent avec ceux de l'équipe ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Contributeur
Yes;Totalement;Maîtrisez-vous les indicateurs de performance de votre activité formation ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Contributeur
Yes;Peu;Connaissez-vous les objectifs de satisfaction des apprenants ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Contributeur
Yes;Totalement;Comprenez-vous les enjeux des lancements de nouveaux produits ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Contributeur
Yes;Totalement;Travaillez-vous efficacement avec vos 5 collègues aux profils complémentaires ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Modérément;Votre équipe de 6 personnes tire-t-elle parti de la diversité des expertises ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Totalement;Les compétences spécialisées (verres, contactologie, bien-être visuel) se complètent-elles bien ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Totalement;La diversité des approches pédagogiques enrichit-elle la qualité des formations ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Totalement;L'équipe valorise-t-elle les différentes expériences terrain et techniques ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Modérément;Connaissez-vous clairement votre rôle et vos responsabilités dans l'équipe ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Contributeur
Yes;Pas du tout;Les rôles entre formateurs spécialisés et expert bien-être visuel sont-ils bien définis ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Contributeur
Yes;Modérément;Comprenez-vous le rôle de Carine Tournier dans l'organisation ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Contributeur
Yes;Peu;Savez-vous comment répartir les formations selon les expertises de chacun ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Contributeur
Yes;Totalement;Les responsabilités de suivi post-formation sont-elles claires ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Contributeur
Yes;Pas du tout;La répartition entre formations externes (95%) et internes (5%) est-elle maîtrisée ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Contributeur
Yes;Totalement;Collaborez-vous efficacement avec les autres services CODIR ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Contributeur
Yes;Peu;Travaillez-vous bien avec les équipes commerciales pour identifier les besoins formation ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Contributeur
Yes;Peu;La collaboration avec le service client pour les montées en compétences est-elle fluide ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Contributeur
Yes;Peu;Échangez-vous efficacement avec le marketing pour les lancements produits ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Contributeur
Yes;Totalement;La relation avec les opticiens clients est-elle bien gérée et suivie ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Contributeur
Yes;Totalement;Partagez-vous efficacement les retours terrain avec les équipes internes ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Contributeur
Yes;Modérément;L'organisation de votre équipe de 6 personnes est-elle claire et efficace ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Pas du tout;La répartition des responsabilités entre les spécialités est-elle optimale ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Peu;L'organisation permet-elle une bonne réactivité face aux demandes de formation ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Modérément;La structure favorise-t-elle la collaboration et le partage d'expertise ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Peu;L'organisation évolue-t-elle selon les besoins des clients et du business ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Contributeur
Yes;Pas du tout;Les processus de conception des formations sont-ils efficaces ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Contributeur
Yes;Peu;Les procédures de délivrance des formations (présentiel/distanciel) sont-elles optimisées ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Contributeur
Yes;Modérément;Le processus de suivi post-formation fonctionne-t-il bien ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Contributeur
Yes;Pas du tout;Les processus garantissent-ils la qualité pédagogique ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Contributeur
