Answer;Choice Text;Question Text;Section Title;Subsection Title;Survey Title
Yes;Modérément;Votre équipe comprend-elle clairement la vision et la mission de Formatech ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Manager
Yes;Modérément;Les objectifs d'excellence pédagogique sont-ils bien communiqués à vos équipes ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Manager
Yes;Totalement;Vos collaborateurs savent-ils comment leur rôle contribue à la montée en compétences des opticiens ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Manager
Yes;Modérément;Votre équipe comprend-elle l'importance de Formatech dans la stratégie CODIR ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Manager
Yes;Modérément;Les valeurs pédagogiques sont-elles clairement définies et partagées ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Manager
Yes;Modérément;Vos collaborateurs connaissent-ils les standards de qualité attendus dans les formations ?;Vision formation et excellence pédagogique;Vision pédagogique : qui on veut être pour nos apprenants;Krys - Formation - Manager
Yes;Totalement;Vos équipes connaissent-elles les différents publics formés (réseau Krys, indépendants, équipes internes) ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Manager
Yes;Totalement;Vos collaborateurs comprennent-ils les besoins spécifiques selon les profils d'apprenants ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Manager
Yes;Modérément;Votre équipe maîtrise-t-elle les modalités pédagogiques (présentiel, distanciel, mixte) ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Manager
Yes;Modérément;Vos collaborateurs comprennent-ils la stratégie de déploiement des formations produits ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Manager
Yes;Totalement;Votre équipe sait-elle adapter les contenus selon les catalogues (CODIR, Partners, Signature) ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Manager
Yes;Modérément;Vos formateurs maîtrisent-ils l'approche pédagogique pour verres et contactologie ?;Vision formation et excellence pédagogique;Stratégie formation : quels contenus, quelles modalités, quelle expérience;Krys - Formation - Manager
Yes;Modérément;Vos équipes connaissent-elles les valeurs fondamentales de l'approche pédagogique Formatech ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Manager
Yes;Modérément;Vos collaborateurs comprennent-ils comment ces valeurs influencent leurs pratiques ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Manager
Yes;Modérément;Votre équipe sait-elle articuler l'ADN pédagogique de Formatech ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Manager
Yes;Modérément;Vos collaborateurs comprennent-ils l'approche CODIR d'accompagnement des opticiens ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Manager
Yes;Totalement;Votre équipe maîtrise-t-elle le discours de présentation de l'offre formation ?;Vision formation et excellence pédagogique;Valeurs et culture formation : ADN pédagogique, notre approche, notre identité;Krys - Formation - Manager
Yes;Totalement;Vos collaborateurs connaissent-ils leurs objectifs individuels de formation ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Manager
Yes;Modérément;Organisez-vous régulièrement des points d'avancement des objectifs formation ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Manager
Yes;Pas du tout;Vos équipes comprennent-elles comment leurs KPI s'alignent avec ceux de l'équipe ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Manager
Yes;Pas du tout;Votre équipe maîtrise-t-elle les indicateurs de performance formation ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Manager
Yes;Peu;Vos collaborateurs connaissent-ils les objectifs de satisfaction des apprenants ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Manager
Yes;Modérément;Votre équipe comprend-elle les enjeux des lancements de nouveaux produits ?;Vision formation et excellence pédagogique;Plan d'exécution formation, KPI / OKR / Priorités pédagogiques;Krys - Formation - Manager
Yes;Totalement;Favorisez-vous l'efficacité de la collaboration entre vos 5 collaborateurs ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Manager
Yes;Peu;Votre équipe de 6 personnes tire-t-elle parti de la diversité des expertises ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Manager
Yes;Totalement;Optimisez-vous la complémentarité des compétences spécialisées ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Manager
Yes;Totalement;La diversité des approches pédagogiques enrichit-elle la qualité sous votre management ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Manager
Yes;Modérément;Votre équipe valorise-t-elle les différentes expériences terrain et techniques ?;Des équipes alignées et expertes en transmission de savoir;Composition et diversité de l'équipe Formatech;Krys - Formation - Manager
Yes;Totalement;Les rôles et responsabilités sont-ils clairement définis dans votre équipe ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Manager
Yes;Totalement;Les rôles entre formateurs spécialisés et expert bien-être visuel sont-ils bien définis ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Manager
Yes;Totalement;Votre rôle de responsable est-il clair et bien compris ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Manager
Yes;Peu;Optimisez-vous la répartition des formations selon les expertises ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Manager
Yes;Modérément;Les responsabilités de suivi post-formation sont-elles claires pour tous ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Manager
Yes;Pas du tout;La répartition formations externes (95%) / internes (5%) est-elle bien gérée ?;Des équipes alignées et expertes en transmission de savoir;Contribution et apports respectifs : Rôles et responsabilités formation;Krys - Formation - Manager
Yes;Modérément;Vos équipes collaborent-elles efficacement avec les autres services CODIR ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Manager
Yes;Modérément;Favorisez-vous la collaboration avec les équipes commerciales ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Manager
Yes;Pas du tout;La collaboration avec le service client pour les montées en compétences est-elle fluide ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Manager
Yes;Modérément;Coordonnez-vous efficacement avec le marketing pour les lancements produits ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Manager
Yes;Totalement;La relation avec les opticiens clients est-elle bien gérée par vos équipes ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Manager
Yes;Modérément;Vos collaborateurs partagent-ils efficacement les retours terrain ?;Des équipes alignées et expertes en transmission de savoir;Collaboration inter-services et avec les clients externes;Krys - Formation - Manager
Yes;Peu;L'organisation de votre équipe de 6 personnes est-elle optimale ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Manager
Yes;Modérément;La répartition des responsabilités entre spécialités est-elle efficace ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Manager
Yes;Modérément;Votre organisation permet-elle une bonne réactivité face aux demandes ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Manager
Yes;Modérément;La structure favorise-t-elle la collaboration et le partage d'expertise ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Manager
Yes;Totalement;Adaptez-vous l'organisation selon les besoins des clients et du business ?;Des processus optimisés pour la formation et l'accompagnement;Organisation de l'équipe Formatech;Krys - Formation - Manager
Yes;Modérément;Les processus de conception des formations sont-ils efficaces sous votre supervision ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Manager
Yes;Peu;Les procédures de délivrance des formations sont-elles optimisées ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Manager
Yes;Peu;Le processus de suivi post-formation fonctionne-t-il bien ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Manager
Yes;Modérément;Les processus garantissent-ils la qualité pédagogique attendue ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Manager
Yes;Peu;L'identification des besoins de formation est-elle bien structurée ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Manager
Yes;Totalement;Pratiquez-vous l'amélioration continue des processus de formation ?;Des processus optimisés pour la formation et l'accompagnement;Processus de conception et délivrance des formations;Krys - Formation - Manager
Yes;Totalement;Vos équipes maîtrisent-elles les outils de formation à distance ?;Des processus optimisés pour la formation et l'accompagnement;Outils et systèmes de formation (présentiel/distanciel);Krys - Formation - Manager
Yes;Modérément;Les systèmes de gestion des formations répondent-ils aux besoins ?;Des processus optimisés pour la formation et l'accompagnement;Outils et systèmes de formation (présentiel/distanciel);Krys - Formation - Manager
Yes;Modérément;Les outils facilitent-ils le suivi des apprenants par vos équipes ?;Des processus optimisés pour la formation et l'accompagnement;Outils et systèmes de formation (présentiel/distanciel);Krys - Formation - Manager
Yes;Modérément;Vos collaborateurs disposent-ils des informations produits nécessaires ?;Des processus optimisés pour la formation et l'accompagnement;Outils et systèmes de formation (présentiel/distanciel);Krys - Formation - Manager
Yes;Modérément;Les outils permettent-ils des formations efficaces en présentiel et distanciel ?;Des processus optimisés pour la formation et l'accompagnement;Outils et systèmes de formation (présentiel/distanciel);Krys - Formation - Manager
Yes;Modérément;L'accès aux catalogues et documentations techniques est-il optimal ?;Des processus optimisés pour la formation et l'accompagnement;Outils et systèmes de formation (présentiel/distanciel);Krys - Formation - Manager
Yes;Pas du tout;Mesurez-vous régulièrement les indicateurs d'efficacité des formations ?;Des processus optimisés pour la formation et l'accompagnement;Suivi et évaluation de l'efficacité des formations;Krys - Formation - Manager
Yes;Modérément;Donnez-vous un feedback régulier à vos équipes sur la qualité des formations ?;Des processus optimisés pour la formation et l'accompagnement;Suivi et évaluation de l'efficacité des formations;Krys - Formation - Manager
Yes;Peu;Les performances de formation sont-elles suivies et analysées ?;Des processus optimisés pour la formation et l'accompagnement;Suivi et évaluation de l'efficacité des formations;Krys - Formation - Manager
Yes;Totalement;Partagez-vous les résultats de satisfaction des apprenants ?;Des processus optimisés pour la formation et l'accompagnement;Suivi et évaluation de l'efficacité des formations;Krys - Formation - Manager
Yes;Pas du tout;Vos équipes participent-elles à l'analyse des indicateurs de performance ?;Des processus optimisés pour la formation et l'accompagnement;Suivi et évaluation de l'efficacité des formations;Krys - Formation - Manager
Yes;Peu;Le suivi vous permet-il d'identifier les axes d'amélioration pédagogique ?;Des processus optimisés pour la formation et l'accompagnement;Suivi et évaluation de l'efficacité des formations;Krys - Formation - Manager
Yes;Peu;Développez-vous les compétences en ingénierie pédagogique de vos équipes ?;Des processus optimisés pour la formation et l'accompagnement;Compétences en ingénierie pédagogique et expertise produits;Krys - Formation - Manager
Yes;Modérément;Vos collaborateurs maîtrisent-ils les techniques d'animation et de transmission ?;Des processus optimisés pour la formation et l'accompagnement;Compétences en ingénierie pédagogique et expertise produits;Krys - Formation - Manager
Yes;Peu;L'expertise produits de votre équipe est-elle maintenue à jour ?;Des processus optimisés pour la formation et l'accompagnement;Compétences en ingénierie pédagogique et expertise produits;Krys - Formation - Manager
Yes;Totalement;Vos formateurs connaissent-ils suffisamment les catalogues CODIR ?;Des processus optimisés pour la formation et l'accompagnement;Compétences en ingénierie pédagogique et expertise produits;Krys - Formation - Manager
Yes;Totalement;Encouragez-vous le développement des compétences sur les nouvelles modalités ?;Des processus optimisés pour la formation et l'accompagnement;Compétences en ingénierie pédagogique et expertise produits;Krys - Formation - Manager
Yes;Peu;Vos équipes maîtrisent-elles l'adaptation aux différents profils d'apprenants ?;Des processus optimisés pour la formation et l'accompagnement;Compétences en ingénierie pédagogique et expertise produits;Krys - Formation - Manager
Yes;Totalement;La confiance règne-t-elle entre vos collaborateurs formateurs ?;Des comportements exemplaires dans l'accompagnement pédagogique;Confiance et Respect dans la relation apprenant;Krys - Formation - Manager
Yes;Peu;Vos collaborateurs partagent-ils efficacement leurs connaissances ?;Des comportements exemplaires dans l'accompagnement pédagogique;Confiance et Respect dans la relation apprenant;Krys - Formation - Manager
Yes;Modérément;Le respect mutuel caractérise-t-il les relations dans vos équipes ?;Des comportements exemplaires dans l'accompagnement pédagogique;Confiance et Respect dans la relation apprenant;Krys - Formation - Manager
Yes;Totalement;Vos collaborateurs expriment-ils librement leurs idées d'amélioration ?;Des comportements exemplaires dans l'accompagnement pédagogique;Confiance et Respect dans la relation apprenant;Krys - Formation - Manager
Yes;Totalement;La confiance règne-t-elle dans vos relations avec les apprenants ?;Des comportements exemplaires dans l'accompagnement pédagogique;Confiance et Respect dans la relation apprenant;Krys - Formation - Manager
Yes;Totalement;Vos équipes traitent-elles tous les apprenants avec le même respect ?;Des comportements exemplaires dans l'accompagnement pédagogique;Confiance et Respect dans la relation apprenant;Krys - Formation - Manager
